date,total_visits,total_bounces,bounce_per_visit
20161219,3222,1336,0.41464928615766605
20161220,3110,1355,0.43569131832797425
20161221,2594,1178,0.45412490362374713
20161222,2100,1003,0.47761904761904761
20161223,1604,809,0.50436408977556113
20161224,1231,622,0.50528025995125914
20161225,1386,706,0.50937950937950938
20161226,1586,795,0.50126103404791933
20161227,1855,888,0.47870619946091642
20161228,1763,829,0.47022121384004539
20161229,1647,787,0.47783849423193686
20161230,1232,592,0.48051948051948051
20161231,1211,649,0.53592072667217172
20170101,1364,702,0.51466275659824046
20170102,1620,774,0.4777777777777778
20170103,2403,1087,0.45235122763212648
20170104,2390,1045,0.43723849372384938
20170105,2193,1008,0.45964432284541723
20170106,2210,1044,0.47239819004524886
20170107,1615,855,0.52941176470588236
20170108,1637,846,0.51679902260232136
20170109,2308,1046,0.45320623916811092
20170110,2268,1060,0.46737213403880068
20170111,2185,1072,0.49061784897025174
20170112,2203,1062,0.48206990467544258
20170113,1967,942,0.47890188103711234
20170114,1526,778,0.509829619921363
20170115,1576,795,0.50444162436548223
20170116,1906,949,0.49790136411332636
20170117,2443,1155,0.47277936962750716
20170118,2245,1061,0.47260579064587971
20170119,2083,1008,0.48391742678828614
20170120,2074,1035,0.49903567984570879
20170121,1685,865,0.51335311572700293
20170122,1700,870,0.5117647058823529
20170123,2262,1073,0.47435897435897434
20170124,3618,1792,0.49530127142067443
20170125,2986,1411,0.47253851306095113
20170126,2209,1091,0.49388863739248529
20170127,1969,946,0.48044692737430167
20170128,1614,832,0.51548946716232957
20170129,1814,899,0.49558985667034178
20170130,2392,1140,0.47658862876254182
20170131,2229,1083,0.48586810228802152
20170201,2445,1150,0.47034764826175868
20170202,2372,1193,0.50295109612141653
20170203,2182,1169,0.53574702108157657
20170204,1549,785,0.50677856681730149
20170205,1522,750,0.492772667542707
20170206,2238,1094,0.48882931188561213
20170207,2476,1235,0.49878836833602586
20170208,2570,1291,0.50233463035019454
20170209,2678,1359,0.50746825989544431
20170210,2199,1095,0.49795361527967258
20170211,1761,895,0.5082339579784213
20170212,1790,900,0.5027932960893855
20170213,2266,1095,0.48323036187113855
20170214,2379,1196,0.50273224043715847
20170215,2629,1350,0.5135032331685051
20170216,2539,1291,0.50846790074832615
20170217,2785,1438,0.51633752244165165
20170218,1755,917,0.5225071225071225
20170219,2187,1150,0.5258344764517604
20170220,2374,1227,0.516849199663016
20170221,2582,1305,0.505422153369481
20170222,2477,1196,0.48284214775938633
20170223,2364,1154,0.48815566835871405
20170224,2093,1027,0.49068322981366458
20170225,1638,852,0.52014652014652019
20170226,1643,817,0.49726110772976262
20170227,2352,1138,0.483843537414966
20170228,2347,1210,0.51555176821474225
20170301,2390,1198,0.501255230125523
20170302,2267,1120,0.49404499338332597
20170303,2162,1093,0.5055504162812211
20170304,1753,884,0.50427837992013691
20170305,1827,928,0.50793650793650791
20170306,2396,1207,0.50375626043405675
20170307,2586,1274,0.49265274555297756
20170308,2449,1240,0.50632911392405067
20170309,2231,1127,0.50515463917525771
20170310,2194,1104,0.50319051959890615
20170311,1707,947,0.55477445811364967
20170312,1781,939,0.52723189219539579
20170313,2537,1260,0.49664958612534488
20170314,2338,1172,0.50128314798973483
20170315,2486,1214,0.48833467417538212
20170316,2409,1277,0.5300954753009548
20170317,2129,1098,0.51573508689525593
20170318,1610,842,0.52298136645962734
20170319,1776,931,0.52421171171171166
20170320,2383,1237,0.51909357952161139
20170321,2611,1373,0.52585216392186906
20170322,2582,1338,0.51820294345468632
20170323,2847,1561,0.54829645240604141
20170324,2374,1231,0.51853411962931761
20170325,1712,965,0.56366822429906538
20170326,1768,976,0.55203619909502266
20170327,2525,1242,0.49188118811881187
20170328,2577,1328,0.51532790065968181
20170329,2525,1300,0.51485148514851486
20170330,2731,1351,0.49469058952764555
20170331,2268,1159,0.51102292768959434
20170401,2170,1131,0.52119815668202762
20170402,1861,997,0.53573347662547022
20170403,2383,1225,0.51405791019723035
20170404,2978,1567,0.52619207521826727
20170405,2619,1371,0.5234822451317297
20170406,2647,1346,0.50850018889308646
20170407,2297,1155,0.50282977797126682
20170408,1829,1017,0.55604155276107159
20170409,1766,914,0.51755379388448475
20170410,2563,1283,0.500585251658213
20170411,2464,1228,0.49837662337662336
20170412,2341,1151,0.49167022639897479
20170413,2300,1167,0.50739130434782609
20170414,1834,914,0.49836423118865869
20170415,1506,826,0.548472775564409
20170416,1507,809,0.53682813536828133
20170417,2279,1125,0.49363756033347961
20170418,2391,1225,0.5123379339188624
20170419,2397,1249,0.52106800166875256
20170420,2374,1195,0.5033698399326032
20170421,2210,1116,0.50497737556561084
20170422,1612,829,0.51426799007444168
20170423,1548,834,0.53875968992248058
