visitId,transaction_during_visit,time_during_visit
1471284554,96200000,2263
1471306370,61520000,2166
1473902761,82640000,532
1470636533,20650000,355
1470599040,92040000,1592
1476825602,57950000,2434
1500414671,95800000,687
1474864268,124940000,650
1500611920,396000000,1013
1500565283,285850000,659
1491277899,28370000,668
1479068994,8990000,435
1479083281,16990000,1464
1479079036,52720000,864
1494732319,60780000,611
1493669344,59990000,904
1493659003,33590000,463
1491324524,1990000,932
1491343517,44790000,665
1491333023,36580000,548
1480522256,374850000,762
1480522186,55100000,1099
1480535222,12990000,1561
1473351304,151780000,581
1497202110,28780000,614
1492901536,41540000,677
1485879620,893620000,2062
1481496959,18980000,424
1481482661,91980000,2202
1472825504,81500000,530
1472832496,117340000,387
1472845932,339030000,695
1499926881,100000000,562
1491424130,161970000,652
1497632044,19020000,701
1489873748,27180000,568
1486564303,18990000,1290
1486589843,54370000,848
1487977162,19190000,346
1474545541,51180000,512
1493097338,30210000,1036
1490886413,33980000,164
1490917285,13590000,428
1478630878,378550000,4871
1480303442,29430000,1515
1493750516,83960000,663
1493738805,33590000,364
1493782878,268720000,362
1492692239,3990000,96
1492737627,50790000,1797
1500143929,12000000,727
1500177417,18640000,4322
1481820777,301540000,1428
1473572882,97050000,515
1471982318,8360000,684
1496635614,3500000,1205
1474914615,120980000,286
1474923323,49960000,1788
1474923300,366660000,3027
1480093266,143400000,375
1488658878,19750000,472
1501393054,17790000,896
1497333718,44790000,981
1478540454,87990000,833
1478565896,62380000,487
1478533513,79970000,732
1489100403,719820000,528
1489076307,67160000,1103
1498117940,13290000,261
1498168061,13590000,257
1498163987,28780000,618
1472139694,7760000,1463
1486787010,18990000,855
1486741960,331500000,494
1484752844,15990000,162
1484759391,19190000,431
1475257313,55960000,2102
1486175439,24990000,2124
1486185884,84310000,835
1484192802,44790000,905
1484197484,16990000,674
1482189655,59160000,262
1482181981,28770000,507
1482179877,48760000,1077
1482172462,158380000,3454
1500187709,21590000,1671
1499593880,14490000,1740
1470936627,105360000,677
1490215223,606150000,301
1478493465,176680000,938
1486690942,10990000,822
1485379628,16970000,271
1485379213,18990000,699
1487085442,931810000,583
1487701176,33390000,451
1487723108,59990000,343
1497846115,2390000,1306
1497458054,26860000,502
1492653600,16990000,733
1481125791,18990000,481
1481135272,280700000,2361
1481127843,1633810000,1626
1489987463,7990000,910
1484218900,16460000,1147
1471129654,33860000,665
1470085227,216920000,282
1493924376,33590000,337
1477682067,50000000,314
1477707178,39930000,1426
1495911032,21480000,1078
1485322773,44790000,351
1485280054,74990000,1798
1485300239,118910000,1423
1501186791,13200000,518
1501188790,102370000,571
1484847404,15990000,409
1484861545,154970000,475
1498608049,33960000,1162
1498511414,52070000,469
1485208911,419850000,373
1485203230,18950000,2440
1485210885,64910000,1354
1475163265,33980000,903
1475160718,16990000,795
1493424340,167950000,544
1493426419,33590000,154
1501280815,13590000,418
1501270894,25000000,895
1481532533,96970000,573
1481553639,44790000,686
1481588626,9160000,720
1481572547,133950000,1894
1481569137,69140000,923
1478267111,17580000,187
1478311213,3490000,2204
1493841076,83990000,400
1493850474,44790000,1690
1493857168,39980000,365
1482022439,111170000,1903
1491593638,502500000,922
1491578402,6826960000,5466
1475339195,609200000,677
1484958180,74990000,1784
1484977699,194910000,461
1479765453,119990000,237
1499357040,263700000,656
1498102313,28780000,308
1480474573,59980000,1865
1488901668,81540000,1924
1488921520,561450000,848
1488328765,10990000,842
1476222931,34380000,556
1493454962,35980000,968
1496109097,57520000,1198
1479495304,21990000,285
1472792920,52060000,239
1497750718,16990000,614
1497707352,27930000,1193
1493270652,420000000,536
1493251956,78380000,3234
1475678757,72980000,440
1493589025,38970000,847
1480349587,4380000,201
1480391890,119990000,1574
1471645309,23490000,288
1471660083,16370000,270
1471634763,45820000,2280
1494963277,55430000,435
1494948635,159500000,1489
1498218912,13590000,1033
1476973254,49190000,692
1471392163,135010000,380
1471371943,354320000,657
1478085011,74990000,331
1499708895,30980000,2465
1499749453,199980000,742
1475004307,331350000,3917
1473283315,69780000,1087
1473286478,69780000,956
1493140374,50970000,737
